task,kind,family,multiple,mean_percent,sd_percent,relative_l2_percent,failures,worst
wave1d,nie_mlp,new,4,2.5708,0.1993,2.4234,0,11.8196
wave1d,nie_mlp,new,8,2.3950,0.1461,2.1987,0,9.1904
wave1d,nie_mlp,shift,1,77.9590,6.5606,58.7373,0,322.6945
wave1d,nie_mlp,shift,2,90.1305,9.2291,64.2871,0,316.3639
wave1d,nie_mlp,shift,4,88.5414,9.8177,64.4653,0,280.5927
wave1d,nie_mlp,shift,8,91.6469,14.9046,68.1811,0,314.9763
wave1d,node32,new,1,14.3738,2.0035,17.9802,0,82.8254
wave1d,node32,new,2,40.9944,0.5250,54.7847,0,144.7488
wave1d,node32,new,4,105.7226,8.6360,127.1445,0,326.7014
wave1d,node32,new,8,166.7508,17.6921,217.0803,0,503.5107
wave1d,node32,shift,1,97.0842,5.5053,80.9979,0,287.1053
wave1d,node32,shift,2,100.5845,3.5076,81.5548,0,260.2782
wave1d,node32,shift,4,147.9794,19.4175,132.6580,0,318.1037
wave1d,node32,shift,8,259.1203,45.4669,259.9971,0,479.6473
wave1d,node8,new,1,3.3508,0.0798,3.8791,0,14.4138
wave1d,node8,new,2,4.6777,0.5967,6.3851,0,14.4494
wave1d,node8,new,4,11.6455,3.4950,14.9001,0,34.8908
wave1d,node8,new,8,25.0590,11.5653,27.6993,0,113.3748
wave1d,node8,shift,1,77.3257,0.5395,61.2408,0,294.5854
wave1d,node8,shift,2,72.8162,1.0969,55.5843,0,258.3621
wave1d,node8,shift,4,68.6967,1.2148,53.6325,0,203.6319
wave1d,node8,shift,8,69.9865,3.2890,55.9899,0,197.8577
